ESG_Rating_Score,P/E Ratio,Revenue,EBITDA,Net Income,EPS,Market Cap,Debt to Equity,Current Ratio,Quick Ratio,1Y Return,Avg Volatility (30D),EBITDA Margin
5.714,40.59,16777400320,4452499968.0,2613100032,2.06,101329043456,69.1,1.99,1.22,32.666354886995,2.30831674758642,0.2653867633290162
5.714,19.42,24387000320,2949985920.0,3369999872,5.74,81369317376,90.49,1.79,1.68,31.7038685495106,2.52225717219394,0.0
8.571,10.88,19637000192,3104999936.0,1558000000,6.12,14492107776,91.19,1.61,1.08,-19.7606948226433,2.36773272485229,0.15811987093960303
5.714,100.39,3111841024,1971954944.0,131070000,0.76,13199060992,61.19,3.38,2.87,-33.5869049618397,1.7216323724505,0.6336939865473025
7.143,22.44,4182718976,2092520960.0,1082935040,6.98,24862359552,66.59,1.56,1.13,38.0442362314731,1.04129634669706,0.5002776834892959
7.143,25.76,2988731904,1825577984.0,1142966016,8.04,29519570944,71.14,0.49,0.04,8.66250454506525,1.28656303190714,0.6108202550910368
7.143,101.2,54528999424,28841000960.0,10396999680,2.15,1023003262976,166.03,1.0,0.81,64.0587137571538,3.92364057131594,0.5289112447441339
8.571,20.68,8752700416,1428700032.0,698800000,8.7,14047373312,159.37,1.03,0.59,-18.9570542416479,1.35847317859308,0.16322962789727452
7.143,26.02,4815000064,2601999872.0,1071000000,5.5,27857465344,137.74,0.49,0.38,8.40331902229419,1.41220523526979,0.5403945664412768
8.571,141.36,2082525952,125274000.0,377033984,4.81,52932812800,31.41,2.3,1.91,123.218201133022,3.27248089780876,0.06015483258669134
8.571,20.82,62049001472,2949985920.0,10142000128,14.31,208719478784,170.35,1.57,1.57,26.2008111861596,1.85665895774159,0.0
5.714,24.11,18672517120,4320432128.0,2606789888,149.07,60118429696,74.58,0.84,0.1,22.3222577889463,1.34109966480902,0.23137920293415695
4.286,24.65,69444001792,-7688000000.0,-11655000064,-17.97,146371411968,74.58,1.23,0.35,9.50739526214777,2.36036888599319,-0.11070790567380095
7.143,12.98,97452998656,2949985920.0,26350999552,3.35,327599095808,74.58,1.24,0.79,16.6833621924499,1.72555405351008,0.0
10.0,30.49,12017999872,1886000000.0,527000000,1.76,15151045632,126.81,1.04,0.64,-21.4809191259996,1.59362164375982,0.15693127143345006
5.714,24.65,10771000320,1955000064.0,-277000000,-0.52,16667924480,146.14,2.02,1.15,-5.59226932668329,1.96580467254423,0.1815058960094804
10.0,17.57,41528000512,2600000000.0,927000000,4.28,15923020800,144.84,1.03,0.35,5.11300310224662,2.47364364772799,0.06260835985225678
5.714,33.63,20867000320,5573000192.0,1498000000,5.17,49742077952,76.34,1.13,0.48,-25.4744589443491,1.34986978307386,0.26707241608936727
5.714,32.0,8697100288,1667100032.0,358300000,0.69,11603503104,24.12,6.58,1.64,-1.98709268177205,2.08766090006922,0.19168458184852888
